"Title","Description","Task"
"Accountants and Auditors","Examine, analyze, and interpret accounting records to prepare financial statements, give advice, or audit and evaluate statements prepared by others. Install or advise on systems of recording costs or other financial and budgetary data.","Prepare detailed reports on audit findings.; Report to management about asset utilization and audit results, and recommend changes in operations and financial activities.; Collect and analyze data to detect deficient controls, duplicated effort, extravagance, fraud, or non-compliance with laws, regulations, and management policies.; Inspect account books and accounting systems for efficiency, effectiveness, and use of accepted accounting procedures to record transactions.; Supervise auditing of establishments, and determine scope of investigation required.; Confer with company officials about financial and regulatory matters.; Examine and evaluate financial and information systems, recommending controls to ensure system reliability and data integrity.; Inspect cash on hand, notes receivable and payable, negotiable securities, and canceled checks to confirm records are accurate.; Examine records and interview workers to ensure recording of transactions and compliance with laws and regulations.; Prepare, examine, or analyze accounting records, financial statements, or other financial reports to assess accuracy, completeness, and conformance to reporting and procedural standards.; Prepare adjusting journal entries.; Review accounts for discrepancies and reconcile differences.; Establish tables of accounts and assign entries to proper accounts.; Examine inventory to verify journal and ledger entries.; Analyze business operations, trends, costs, revenues, financial commitments, and obligations to project future revenues and expenses or to provide advice.; Report to management regarding the finances of establishment.; Develop, implement, modify, and document recordkeeping and accounting systems, making use of current computer technology.; Evaluate taxpayer finances to determine tax liability, using knowledge of interest and discount rates, annuities, valuation of stocks and bonds, and amortization valuation of depletable assets.; Examine whether the organization's objectives are reflected in its management activities, and whether employees understand the objectives.; Audit payroll and personnel records to determine unemployment insurance premiums, workers' compensation coverage, liabilities, and compliance with tax laws."
"Actors","Play parts in stage, television, radio, video, or film productions, or other settings for entertainment, information, or instruction. Interpret serious or comic role by speech, gesture, and body movement to entertain or inform audience. May dance and sing.","Collaborate with other actors as part of an ensemble.; Portray and interpret roles, using speech, gestures, and body movements, to entertain, inform, or instruct radio, film, television, or live audiences.; Work closely with directors, other actors, and playwrights to find the interpretation most suited to the role.; Perform humorous and serious interpretations of emotions, actions, and situations, using body movements, facial expressions, and gestures.; Study and rehearse roles from scripts to interpret, learn and memorize lines, stunts, and cues as directed.; Learn about characters in scripts and their relationships to each other to develop role interpretations.; Attend auditions and casting calls to audition for roles.; Sing or dance during dramatic or comedic performances.; Work with other crew members responsible for lighting, costumes, make-up, and props.; Tell jokes, perform comic dances, songs and skits, impersonate mannerisms and voices of others, contort face, and use other devices to amuse audiences.; Read from scripts or books to narrate action or to inform or entertain audiences, utilizing few or no stage props.; Promote productions using means such as interviews about plays or movies.; Prepare and perform action stunts for motion picture, television, or stage productions."
"Actuaries","Analyze statistical data, such as mortality, accident, sickness, disability, and retirement rates and construct probability tables to forecast risk and liability for payment of future benefits. May ascertain insurance rates required and cash reserves necessary to ensure payment of future benefits.","Ascertain premium rates required and cash reserves and liabilities necessary to ensure payment of future benefits.; Collaborate with programmers, underwriters, accounts, claims experts, and senior management to help companies develop plans for new lines of business or improvements to existing business.; Analyze statistical information to estimate mortality, accident, sickness, disability, and retirement rates.; Design, review, and help administer insurance, annuity and pension plans, determining financial soundness and calculating premiums.; Determine, or help determine, company policy, and explain complex technical matters to company executives, government officials, shareholders, policyholders, or the public.; Construct probability tables for events such as fires, natural disasters, and unemployment, based on analysis of statistical data and other pertinent information.; Provide advice to clients on a contract basis, working as a consultant.; Determine equitable basis for distributing surplus earnings under participating insurance and annuity contracts in mutual companies.; Negotiate terms and conditions of reinsurance with other companies.; Provide expertise to help financial institutions manage risks and maximize returns associated with investment products or credit offerings.; Testify before public agencies on proposed legislation affecting businesses.; Determine policy contract provisions for each type of insurance."
"Acupuncturists","Diagnose, treat, and prevent disorders by stimulating specific acupuncture points within the body using acupuncture needles. May also use cups, nutritional supplements, therapeutic massage, acupressure, and other alternative health therapies.","Develop individual treatment plans and strategies.; Adhere to local, state, and federal laws, regulations, and statutes.; Insert needles to provide acupuncture treatment.; Identify correct anatomical and proportional point locations based on patients' anatomy and positions, contraindications, and precautions related to treatments, such as intradermal needles, moxibustion, electricity, guasha, or bleeding.; Collect medical histories and general health and lifestyle information from patients.; Treat patients using tools, such as needles, cups, ear balls, seeds, pellets, or nutritional supplements.; Analyze physical findings and medical histories to make diagnoses according to Oriental medicine traditions.; Maintain and follow standard quality, safety, environmental, and infection control policies and procedures.; Educate patients on topics, such as meditation, ergonomics, stretching, exercise, nutrition, the healing process, breathing, or relaxation techniques.; Dispense herbal formulas and inform patients of dosages and frequencies, treatment duration, possible side effects, and drug interactions.; Maintain detailed and complete records of health care plans and prognoses.; Assess patients' general physical appearance to make diagnoses.; Formulate herbal preparations to treat conditions considering herbal properties, such as taste, toxicity, effects of preparation, contraindications, and incompatibilities.; Apply heat or cold therapy to patients using materials, such as heat pads, hydrocollator packs, warm compresses, cold compresses, heat lamps, or vapor coolants.; Consider Western medical procedures in health assessment, health care team communication, and care referrals.; Evaluate treatment outcomes and recommend new or altered treatments as necessary to further promote, restore, or maintain health.; Treat medical conditions, using techniques such as acupressure, shiatsu, or tuina.; Apply moxibustion directly or indirectly to patients using Chinese, non-scarring, stick, or pole moxa."
"Acute Care Nurses","Provide advanced nursing care for patients with acute conditions such as heart attacks, respiratory distress syndrome, or shock. May care for pre- and post-operative patients or perform advanced, invasive diagnostic or therapeutic procedures.","Perform emergency medical procedures, such as basic cardiac life support (BLS), advanced cardiac life support (ACLS), and other condition-stabilizing interventions.; Manage patients' pain relief and sedation by providing pharmacologic and non-pharmacologic interventions, monitoring patients' responses, and changing care plans accordingly.; Document data related to patients' care, including assessment results, interventions, medications, patient responses, or treatment changes.; Diagnose acute or chronic conditions that could result in rapid physiological deterioration or life-threatening instability.; Administer blood and blood product transfusions or intravenous infusions, monitoring patients for adverse reactions.; Assess urgent and emergent health conditions, using both physiologically and technologically derived data.; Assess the impact of illnesses or injuries on patients' health, function, growth, development, nutrition, sleep, rest, quality of life, or family, social and educational relationships.; Interpret information obtained from electrocardiograms (EKGs) or radiographs (x-rays).; Obtain specimens or samples for laboratory work.; Collaborate with patients to plan for future health care needs or to coordinate transitions and referrals.; Refer patients for specialty consultations or treatments.; Set up, operate, or monitor invasive equipment and devices, such as colostomy or tracheotomy equipment, mechanical ventilators, catheters, gastrointestinal tubes, and central lines.; Discuss illnesses and treatments with patients and family members.; Distinguish between normal and abnormal developmental and age-related physiological and behavioral changes in acute, critical, and chronic illness.; Collaborate with members of multidisciplinary health care teams to plan, manage, or assess patient treatments.; Assess the needs of patients' family members or caregivers.; Perform administrative duties that facilitate admission, transfer, or discharge of patients.; Provide formal and informal education to other staff members.; Read current literature, talk with colleagues, and participate in professional organizations or conferences to keep abreast of developments in acute care.; Treat wounds or superficial lacerations.; Participate in patients' care meetings and conferences.; Participate in the development of practice protocols."
"Adapted Physical Education Specialists","Provide individualized physical education instruction or services to children, youth, or adults with exceptional physical needs due to gross motor developmental delays or other impairments.","Adapt instructional techniques to the age and skill levels of students.; Instruct students, using adapted physical education techniques, to improve physical fitness, gross motor skills, perceptual motor skills, or sports and game achievement.; Provide individual or small groups of students with adapted physical education instruction that meets desired physical needs or goals.; Provide students positive feedback to encourage them and help them develop an appreciation for physical education.; Establish and maintain standards of behavior to create safe, orderly, and effective environments for learning.; Provide adapted physical education services to students with intellectual disabilities, autism, traumatic brain injury, orthopedic impairments, or other disabling condition.; Assess students' physical progress or needs.; Assist in screening or placement of students in adapted physical education programs.; Evaluate the motor needs of individual students to determine their need for adapted physical education services.; Collaborate with other educational personnel to provide inclusive activities or programs for children with disabilities.; Maintain thorough student records to document attendance, participation, or progress, ensuring confidentiality of all records.; Advise education professionals of students' physical abilities or disabilities and the accommodations required to enhance their school performance.; Communicate behavioral observations and student progress reports to students, parents, teachers, or administrators.; Write or modify individualized education plans (IEPs) for students with intellectual or physical disabilities.; Write reports to summarize student performance, social growth, or physical development.; Prepare lesson plans in accordance with individualized education plans (IEPs) and the functional abilities or needs of students.; Attend in-service training, workshops, or meetings to keep abreast of current practices or trends in adapted physical education.; Review adapted physical education programs or practices to ensure compliance with government or other regulations.; Request or order physical education equipment, following standard procedures.; Maintain inventory of instructional equipment, materials, or aids."
"Adhesive Bonding Machine Operators and Tenders","Operate or tend bonding machines that use adhesives to join items for further processing or to form a completed product. Processes include joining veneer sheets into plywood; gluing paper; or joining rubber and rubberized fabric parts, plastic, simulated leather, or other materials.","Align and position materials being joined to ensure accurate application of adhesive or heat sealing.; Adjust machine components according to specifications such as widths, lengths, and thickness of materials and amounts of glue, cement, or adhesive required.; Monitor machine operations to detect malfunctions and report or resolve problems.; Start machines, and turn valves or move controls to feed, admit, apply, or transfer materials and adhesives, and to adjust temperature, pressure, and time settings.; Fill machines with glue, cement, or adhesives.; Perform test production runs and make adjustments as necessary to ensure that completed products meet standards and specifications.; Examine and measure completed materials or products to verify conformance to specifications, using measuring devices such as tape measures, gauges, or calipers.; Read work orders and communicate with coworkers to determine machine and equipment settings and adjustments and supply and product specifications.; Remove and stack completed materials or products, and restock materials to be joined.; Observe gauges, meters, and control panels to obtain information about equipment temperatures and pressures, or the speed of feeders or conveyors.; Maintain production records such as quantities, dimensions, and thicknesses of materials processed.; Remove jammed materials from machines and readjust components as necessary to resume normal operations.; Mount or load material such as paper, plastic, wood, or rubber in feeding mechanisms of cementing or gluing machines.; Transport materials, supplies, and finished products between storage and work areas, using forklifts."
"Administrative Law Judges, Adjudicators, and Hearing Officers","Conduct hearings to recommend or make decisions on claims concerning government programs or other government-related matters. Determine liability, sanctions, or penalties, or recommend the acceptance or rejection of claims or settlements.","Determine existence and amount of liability according to current laws, administrative and judicial precedents, and available evidence.; Monitor and direct the activities of trials and hearings to ensure that they are conducted fairly and that courts administer justice while safeguarding the legal rights of all involved parties.; Prepare written opinions and decisions.; Authorize payment of valid claims and determine method of payment.; Conduct hearings to review and decide claims regarding issues, such as social program eligibility, environmental protection, or enforcement of health and safety regulations.; Research and analyze laws, regulations, policies, and precedent decisions to prepare for hearings and to determine conclusions.; Review and evaluate data on documents, such as claim applications, birth or death certificates, or physician or employer records.; Recommend the acceptance or rejection of claims or compromise settlements according to laws, regulations, policies, and precedent decisions.; Rule on exceptions, motions, and admissibility of evidence.; Explain to claimants how they can appeal rulings that go against them.; Confer with individuals or organizations involved in cases to obtain relevant information.; Issue subpoenas and administer oaths in preparation for formal hearings."
"Administrative Services Managers","Plan, direct, or coordinate one or more administrative services of an organization, such as records and information management, mail distribution, and other office support services.","Prepare and review operational reports and schedules to ensure accuracy and efficiency.; Set goals and deadlines for the department.; Acquire, distribute and store supplies.; Analyze internal processes and recommend and implement procedural or policy changes to improve operations, such as supply changes or the disposal of records.; Conduct classes to teach procedures to staff."
"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors","Teach or instruct out-of-school youths and adults in basic education, literacy, or English as a Second Language classes, or in classes for earning a high school equivalency credential.","Observe and evaluate students' work to determine progress and make suggestions for improvement.; Observe students to determine qualifications, limitations, abilities, interests, and other individual characteristics.; Establish clear objectives for all lessons, units, and projects and communicate those objectives to students.; Adapt teaching methods and instructional materials to meet students' varying needs, abilities, and interests.; Prepare students for further education by encouraging them to explore learning opportunities and to persevere with challenging tasks.; Prepare materials and classrooms for class activities.; Instruct students individually and in groups, using various teaching methods, such as lectures, discussions, and demonstrations.; Plan and conduct activities for a balanced program of instruction, demonstration, and work time that provides students with opportunities to observe, question, and investigate.; Assign and grade class work and homework.; Maintain accurate and complete student records as required by laws or administrative policies.; Conduct classes, workshops, and demonstrations to teach principles, techniques, or methods in subjects, such as basic English language skills, life skills, and workforce entry skills.; Establish and enforce rules for behavior and procedures for maintaining order among the students for whom they are responsible.; Prepare and administer written, oral, and performance tests and issue grades in accordance with performance.; Prepare and implement remedial programs for students requiring extra help.; Prepare for assigned classes and show written evidence of preparation upon request of immediate supervisors.; Enforce administration policies and rules governing students.; Use computers, audio-visual aids, and other equipment and materials to supplement presentations.; Prepare objectives and outlines for courses of study, following curriculum guidelines or requirements of states and schools.; Prepare reports on students and activities as required by administration.; Review instructional content, methods, and student evaluations to assess strengths and weaknesses, and to develop recommendations for course revision, development, or elimination.; Register, orient, and assess new students according to standards and procedures.; Collaborate with other teachers and professionals in the development of instructional programs.; Attend staff meetings and serve on committees, as required.; Meet with other professionals to discuss individual students' needs and progress.; Guide and counsel students with adjustment or academic problems or special academic interests.; Select, order, and issue books, materials, and supplies for courses or projects.; Attend professional meetings, conferences, and workshops to maintain and improve professional competence.; Confer with other staff members to plan and schedule lessons that promote learning, following approved curricula.; Plan and supervise class projects, field trips, visits by guest speakers, contests, or other experiential activities, and guide students in learning from those activities."
